year,medal,medal_bucket_size,rank_start,rank_end,rank_average,percentile,first_country,last_country,country_sequence
2019,Merit,24,142,165,153.5,0.3980392157,Canada,Uzbekistan,Canada;Canada;People's Republic of China;Cyprus;India;India;Islamic Republic of Iran;Kazakhstan;Kazakhstan;Macau;Mexico;Nepal;Nepal;Philippines;Romania;Romania;South Africa;South Africa;South Africa;Sri Lanka;Sri Lanka;Tajikistan;Tajikistan;Uzbekistan
2021,Gold,1,1,1,1,0.9967948718,Taiwan,Taiwan,Taiwan
2021,Gold,4,2,5,3.5,0.9887820513,Bulgaria,United States of America,Bulgaria;People's Republic of China;People's Republic of China;United States of America
2021,Gold,9,6,14,10,0.9679487179,People's Republic of China,Vietnam,People's Republic of China;People's Republic of China;Indonesia;Malaysia;Malaysia;Philippines;Romania;Taiwan;Vietnam
2021,Gold,7,15,21,18,0.9423076923,People's Republic of China,United States of America,People's Republic of China;Mexico;Malaysia;Thailand;Taiwan;Taiwan;United States of America
2021,Silver,11,22,32,27,0.9134615385,Bulgaria,Bulgaria,Bulgaria;Bulgaria;Bulgaria;Philippines;Taiwan;Taiwan;Taiwan;Taiwan;Vietnam;Vietnam;Bulgaria
2021,Silver,11,33,43,38,0.8782051282,Bulgaria,Vietnam,Bulgaria;Bulgaria;Republic of Korea;Mexico;Mexico;Philippines;Taiwan;Taiwan;Taiwan;Vietnam;Vietnam
2021,Silver,19,44,62,53,0.8301282051,Bulgaria,Vietnam,Bulgaria;Bulgaria;People's Republic of China;Indonesia;Indonesia;Indonesia;Indonesia;Indonesia;Indonesia;Islamic Republic of Iran;Macau;Macau;Philippines;Thailand;Taiwan;Taiwan;Taiwan;Uzbekistan;Vietnam
2021,Bronze,19,63,81,72,0.7692307692,Bulgaria,Romania,Bulgaria;Bulgaria;Bulgaria;People's Republic of China;Hong Kong;Indonesia;Indonesia;India;Republic of Korea;Philippines;Philippines;Romania;Taiwan;Taiwan;Taiwan;Taiwan;Uzbekistan;Vietnam;Romania
2021,Bronze,22,82,103,92.5,0.703525641,United Arab Emirates,Vietnam,United Arab Emirates;Bulgaria;Bulgaria;Bulgaria;Indonesia;Republic of Korea;Republic of Korea;Mexico;Mexico;Philippines;Philippines;Philippines;Philippines;Russian Federation;Thailand;Thailand;Taiwan;Taiwan;Taiwan;United States of America;United States of America;Vietnam
2021,Bronze,18,104,121,112.5,0.6394230769,United Arab Emirates,South Africa,United Arab Emirates;Bulgaria;Bulgaria;People's Republic of China;Hong Kong;Indonesia;Indonesia;Indonesia;Macau;Macau;Mexico;Mexico;Malaysia;Philippines;Romania;Romania;Taiwan;South Africa
2021,Merit,30,122,151,136.5,0.5625,Bulgaria,South Africa,Bulgaria;Bulgaria;Bulgaria;Hong Kong;Hong Kong;Hong Kong;Indonesia;Indonesia;India;Islamic Republic of Iran;Republic of Korea;Republic of Korea;Republic of Korea;Macau;Macau;Philippines;Philippines;Philippines;Philippines;Philippines;Philippines;Philippines;Philippines;Romania;Russian Federation;Taiwan;Uzbekistan;Uzbekistan;Uzbekistan;South Africa
2021,Merit,23,152,174,163,0.4775641026,Bangladesh,Philippines,Bangladesh;Bangladesh;Bulgaria;Bulgaria;Bulgaria;Indonesia;Indonesia;Indonesia;Indonesia;India;Macau;Philippines;Romania;Russian Federation;Tajikistan;Taiwan;Taiwan;Uzbekistan;Uzbekistan;South Africa;South Africa;Indonesia;Philippines
2021,Merit,37,175,211,193,0.3814102564,United Arab Emirates,South Africa,United Arab Emirates;Bulgaria;Bolivia;Cyprus;Cyprus;Hong Kong;Hong Kong;Indonesia;Indonesia;Indonesia;India;Islamic Republic of Iran;Republic of Korea;Republic of Korea;Macau;Malaysia;Malaysia;Malaysia;Philippines;Romania;Romania;Russian Federation;Tajikistan;Tajikistan;Tajikistan;Taiwan;Uganda;Uzbekistan;South Africa;South Africa;South Africa;South Africa;South Africa;South Africa;South Africa;South Africa;South Africa
2022,Gold,3,1,3,2,0.9930555556,People's Republic of China,United States of America,People's Republic of China;Malaysia;United States of America
2022,Gold,5,4,8,6,0.9791666667,People's Republic of China,Russian Federation,People's Republic of China;People's Republic of China;People's Republic of China;People's Republic of China;Russian Federation
2022,Gold,6,9,14,11.5,0.9600694444,Republic of Korea,United States of America,Republic of Korea;Malaysia;Thailand;Thailand;Taiwan;United States of America
2022,Silver,14,15,28,21.5,0.9253472222,United Arab Emirates,Vietnam,United Arab Emirates;Bulgaria;People's Republic of China;People's Republic of China;Hong Kong;Republic of Korea;Malaysia;Romania;Taiwan;Taiwan;United States of America;Vietnam;Vietnam;Vietnam
2022,Silver,12,29,40,34.5,0.8802083333,Bulgaria,United States of America,Bulgaria;Bulgaria;People's Republic of China;Hong Kong;Hong Kong;Philippines;Thailand;Taiwan;Taiwan;Taiwan;Taiwan;United States of America
